time,x,y,z,vx,vy,vz,ax,ay,az,P1,P2,P3,P4,Pt1,Pt2,Pt3,Pt4,L2_dyn,L3_dyn,Pe1,Pe2,Pe3,Pe4
0.08,3.9744,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,802.458,802.458,802.458,802.458,0.0,0.0,0.0,0.0,0.0,0.17078239608801954,802.458,802.458,802.458,802.458
0.16,3.93728,4.0,0.0,-0.4639999999999977,0.0,0.0,-5.799999999999971,0.0,0.0,1126.5619999999983,478.3540000000016,478.3540000000016,1126.5619999999983,0.0,0.0,0.0,0.0,0.0,0.17078239608801954,1126.5619999999983,478.3540000000016,478.3540000000016,1126.5619999999983
0.24,3.897856,4.0,0.0,-0.4927999999999988,0.0,0.0,-0.3600000000000131,0.0,0.0,822.5748000000007,782.3411999999993,782.3411999999993,822.5748000000007,0.0,0.0,0.0,0.0,0.0,0.17078239608801954,822.5748000000007,782.3411999999993,782.3411999999993,822.5748000000007
0.325,3.8554478,4.0,0.0,-0.4989200000000013,0.0,0.0,-0.0720000000000302,0.0,0.0,806.4813600000017,798.4346399999982,798.4346399999982,806.4813600000017,0.0,0.0,0.0,0.0,0.0,0.17078239608801954,806.4813600000017,798.4346399999982,798.4346399999982,806.4813600000017
0.405,3.815465080000001,4.0,0.0,-0.4997839999999975,0.0,0.0,-0.0107999999999525,0.0,0.0,803.0615039999973,801.8544960000027,801.8544960000027,803.0615039999973,0.0,0.0,0.0,0.0,0.0,0.17078239608801954,803.0615039999973,801.8544960000027,801.8544960000027,803.0615039999973
0.485,3.775468536,4.0,0.0,-0.499956800000001,0.0,0.0,-0.0021600000000426,0.0,0.0,802.5787008000024,802.3372991999976,802.3372991999976,802.5787008000024,0.0,0.0,0.0,0.0,0.0,0.17078239608801954,802.5787008000024,802.3372991999976,802.3372991999976,802.5787008000024
0.5650000000000001,3.7354692272,4.0,0.0,-0.4999913600000016,0.0,0.0,-0.0004320000000085,0.0,0.0,802.4821401600004,802.4338598399995,802.4338598399995,802.4821401600004,0.0,0.0,0.0,0.0,0.0,0.17078239608801954,802.4821401600004,802.4338598399995,802.4338598399995,802.4821401600004
0.645,3.69546936544,4.0,0.0,-0.4999982720000018,0.0,0.0,-8.640000000170733e-05,0.0,0.0,802.4628280320001,802.4531719679999,802.4531719679999,802.4628280320001,0.0,0.0,0.0,0.0,0.0,0.17078239608801954,802.4628280320001,802.4531719679999,802.4531719679999,802.4628280320001
0.725,3.655469393088,4.0,0.0,-0.4999996544000018,0.0,0.0,-1.7280000000341467e-05,0.0,0.0,802.4589656063999,802.4570343936,802.4570343936,802.4589656063999,0.0,0.0,0.0,0.0,0.0,0.17078239608801954,802.4589656063999,802.4570343936,802.4570343936,802.4589656063999
0.8049999999999999,3.6154693986176,4.0,0.0,-0.4999999308800018,0.0,0.0,-3.4560000000682933e-06,0.0,0.0,802.4581931212799,802.45780687872,802.45780687872,802.4581931212799,0.0,0.0,0.0,0.0,0.0,0.17078239608801954,802.4581931212799,802.45780687872,802.45780687872,802.4581931212799
0.8849999999999999,3.57546939972352,4.0,0.0,-0.4999999861759974,0.0,0.0,-6.911999445025074e-07,0.0,0.0,802.4580386242528,802.4579613757471,802.4579613757471,802.4580386242528,0.0,0.0,0.0,0.0,0.0,0.17078239608801954,802.4580386242528,802.4579613757471,802.4579613757471,802.4580386242528
0.965,3.535469399944704,4.0,0.0,-0.4999999972352009,0.0,0.0,-1.3824004441165274e-07,0.0,0.0,802.4580077248537,802.4579922751462,802.4579922751462,802.4580077248537,0.0,0.0,0.0,0.0,0.0,0.17078239608801954,802.4580077248537,802.4579922751462,802.4579922751462,802.4580077248537
1.0499999999999998,3.492969399979956,4.0,0.0,-0.4999999995852779,0.0,0.0,-2.7647964310141463e-08,0.0,0.0,802.4580015449682,802.4579984550318,802.4579984550318,802.4580015449682,0.0,0.0,0.0,0.0,0.0,0.17078239608801954,802.4580015449682,802.4579984550318,802.4579984550318,802.4580015449682
1.13,3.452969399986591,4.0,0.0,-0.4999999999170557,0.0,0.0,-4.147222149031293e-09,0.0,0.0,802.4580002317467,802.4579997682532,802.4579997682532,802.4580002317467,0.0,0.0,0.0,0.0,0.0,0.17078239608801954,802.4580002317467,802.4579997682532,802.4579997682532,802.4580002317467
1.21,3.412969399987918,4.0,0.0,-0.4999999999834137,0.0,0.0,-8.2947537727307e-10,0.0,0.0,802.458000046351,802.4579999536489,802.4579999536489,802.458000046351,0.0,0.0,0.0,0.0,0.0,0.17078239608801954,802.458000046351,802.4579999536489,802.4579999536489,802.458000046351
1.29,3.372969399988184,4.0,0.0,-0.4999999999966809,0.0,0.0,-1.6583956430338276e-10,0.0,0.0,802.458000009267,802.4579999907329,802.4579999907329,802.458000009267,0.0,0.0,0.0,0.0,0.0,0.17078239608801954,802.458000009267,802.4579999907329,802.4579999907329,802.458000009267
