time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz
0.016,3.99987712,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.032,3.99950848,4.0,0.0,-0.023040000000001948,0.0,0.0,-1.4400000000001216,0.0,0.0,-90.0000000000076,0.0,0.0
0.048,3.9987711999999997,4.0,0.0,-0.046080000000003896,0.0,0.0,-1.4400000000001216,0.0,0.0,0.0,0.0,0.0
0.064,3.9975424,4.0,0.0,-0.07679999999998799,0.0,0.0,-1.9199999999990058,0.0,0.0,-29.999999999930264,0.0,0.0
0.08,3.9956992,4.0,0.0,-0.11520000000000974,0.0,0.0,-2.4000000000013593,0.0,0.0,-30.00000000014709,0.0,0.0
0.096,3.9931187199999996,4.0,0.0,-0.16128000000001363,0.0,0.0,-2.8800000000002433,0.0,0.0,-29.99999999993025,0.0,0.0
0.112,3.9897702399999995,4.0,0.0,-0.20928000000000613,0.0,0.0,-2.9999999999995306,0.0,0.0,-7.499999999955459,0.0,0.0
0.128,3.9856537599999995,4.0,0.0,-0.2572799999999986,0.0,0.0,-2.9999999999995306,0.0,0.0,0.0,0.0,0.0
0.14400000000000002,3.9807692799999996,4.0,0.0,-0.3052799999999911,0.0,0.0,-2.9999999999995306,0.0,0.0,0.0,0.0,0.0
0.16000000000000003,3.9751167999999995,4.0,0.0,-0.35328000000001136,0.0,0.0,-3.0000000000012657,0.0,0.0,-1.0844103393026217e-10,0.0,0.0
0.17600000000000005,3.9686963199999994,4.0,0.0,-0.40128000000000386,0.0,0.0,-2.9999999999995306,0.0,0.0,1.0844103393026217e-10,0.0,0.0
0.19200000000000006,3.9615078399999994,4.0,0.0,-0.44927999999999635,0.0,0.0,-2.9999999999995306,0.0,0.0,0.0,0.0,0.0
0.20800000000000007,3.9535513599999996,4.0,0.0,-0.49727999999998884,0.0,0.0,-2.9999999999995306,0.0,0.0,0.0,0.0,0.0
0.2240000000000001,3.9448268799999995,4.0,0.0,-0.5452800000000091,0.0,0.0,-3.0000000000012657,0.0,0.0,-1.0844103393026217e-10,0.0,0.0
0.2400000000000001,3.9353343999999995,4.0,0.0,-0.5932800000000016,0.0,0.0,-2.9999999999995306,0.0,0.0,1.0844103393026217e-10,0.0,0.0
0.2560000000000001,3.9250739199999995,4.0,0.0,-0.6412799999999941,0.0,0.0,-2.9999999999995306,0.0,0.0,0.0,0.0,0.0
0.27200000000000013,3.9141683199999995,4.0,0.0,-0.6816000000000044,0.0,0.0,-2.5200000000006466,0.0,0.0,29.99999999993025,0.0,0.0
0.28800000000000014,3.9027404799999994,4.0,0.0,-0.7142400000000049,0.0,0.0,-2.040000000000028,0.0,0.0,30.00000000003866,0.0,0.0
0.30400000000000016,3.8909132799999995,4.0,0.0,-0.7391999999999954,0.0,0.0,-1.559999999999409,0.0,0.0,30.00000000003869,0.0,0.0
0.3200000000000002,3.8788095999999994,4.0,0.0,-0.7564800000000038,0.0,0.0,-1.080000000000525,0.0,0.0,29.99999999993025,0.0,0.0
0.3360000000000002,3.8665523199999994,4.0,0.0,-0.7660800000000023,0.0,0.0,-0.5999999999999062,0.0,0.0,30.000000000038675,0.0,0.0
0.3520000000000002,3.8542643199999995,4.0,0.0,-0.7679999999999909,0.0,0.0,-0.11999999999928734,0.0,0.0,30.000000000038675,0.0,0.0
0.3680000000000002,3.8420684799999996,4.0,0.0,-0.7622399999999974,0.0,0.0,0.35999999999959675,0.0,0.0,29.999999999930257,0.0,0.0
0.38400000000000023,3.8300876799999997,4.0,0.0,-0.7487999999999939,0.0,0.0,0.8400000000002156,0.0,0.0,30.000000000038675,0.0,0.0
0.40000000000000024,3.8184447999999995,4.0,0.0,-0.7276800000000083,0.0,0.0,1.3199999999990997,0.0,0.0,29.999999999930257,0.0,0.0
0.41600000000000026,3.8072627199999993,4.0,0.0,-0.6988800000000128,0.0,0.0,1.7999999999997185,0.0,0.0,30.000000000038675,0.0,0.0
0.4320000000000003,3.796664319999999,4.0,0.0,-0.6624000000000074,0.0,0.0,2.2800000000003373,0.0,0.0,30.000000000038675,0.0,0.0
0.4480000000000003,3.7865896570879993,4.0,0.0,-0.6296664319999923,0.0,0.0,2.0458480000009467,0.0,0.0,-14.634499999961914,0.0,0.0
0.4640000000000003,3.7769158512639995,4.0,0.0,-0.604612863999987,0.0,0.0,1.5658480000003276,0.0,0.0,-30.00000000003869,0.0,0.0
0.4800000000000003,3.7675200225279997,4.0,0.0,-0.5872392959999917,0.0,0.0,1.0858479999997088,0.0,0.0,-30.000000000038675,0.0,0.0
0.49600000000000033,3.7582792908799996,4.0,0.0,-0.5775457280000063,0.0,0.0,0.6058479999990901,0.0,0.0,-30.000000000038668,0.0,0.0
0.5120000000000003,3.7490707763199995,4.0,0.0,-0.575532160000003,0.0,0.0,0.12584800000020602,0.0,0.0,-29.999999999930257,0.0,0.0
0.5280000000000004,3.7397715988479994,4.0,0.0,-0.5811985920000096,0.0,0.0,-0.3541520000004128,0.0,0.0,-30.000000000038675,0.0,0.0
0.5440000000000004,3.7302588784639994,4.0,0.0,-0.5945450239999983,0.0,0.0,-0.8341519999992969,0.0,0.0,-29.999999999930257,0.0,0.0
0.5600000000000004,3.7204097351679994,4.0,0.0,-0.615571455999997,0.0,0.0,-1.3141519999999156,0.0,0.0,-30.000000000038668,0.0,0.0
0.5760000000000004,3.7103470489599992,4.0,0.0,-0.6289178880000135,0.0,0.0,-0.8341520000010316,0.0,0.0,29.99999999993025,0.0,0.0
0.5920000000000004,3.7001936998399994,4.0,0.0,-0.6345843199999923,0.0,0.0,-0.3541519999986781,0.0,0.0,30.000000000147097,0.0,0.0
0.6080000000000004,3.6900725678079995,4.0,0.0,-0.632570751999989,0.0,0.0,0.12584800000020602,0.0,0.0,29.999999999930257,0.0,0.0
0.6240000000000004,3.6801065328639995,4.0,0.0,-0.6228771840000036,0.0,0.0,0.6058479999990901,0.0,0.0,29.999999999930257,0.0,0.0
0.6400000000000005,3.670218362411417,4.0,0.0,-0.6180106532863994,0.0,0.0,0.3041581696002632,0.0,0.0,-18.855614399926683,0.0,0.0
0.6560000000000005,3.6603460130315586,4.0,0.0,-0.617021836241155,0.0,0.0,0.06180106532777119,0.0,0.0,-15.147319017030751,0.0,0.0
0.6720000000000005,3.650489459410708,4.0,0.0,-0.6160346013031615,0.0,0.0,0.06170218362459845,0.0,0.0,-0.0061801064482960855,0.0,0.0
0.6880000000000005,3.6406486762756507,4.0,0.0,-0.6150489459410824,0.0,0.0,0.061603460129941445,0.0,0.0,-0.0061702184160628,0.0,0.0
0.7040000000000005,3.6308236383936094,4.0,0.0,-0.6140648676275784,0.0,0.0,0.06150489459399999,0.0,0.0,-0.006160345996340799,0.0,0.0
0.7200000000000005,3.6210143205721796,4.0,0.0,-0.6130823638393623,0.0,0.0,0.061406486763504464,0.0,0.0,-0.006150489405970516,0.0,0.0
0.7360000000000005,3.611220697659264,4.0,0.0,-0.6121014320572271,0.0,0.0,0.06130823638345051,0.0,0.0,-0.006140648753372169,0.0,0.0
0.7520000000000006,3.601442744543009,4.0,0.0,-0.6111220697659348,0.0,0.0,0.06121014320577267,0.0,0.0,-0.006130823604864888,0.0,0.0
0.7680000000000006,3.5916804361517403,4.0,0.0,-0.6101442744542995,0.0,0.0,0.06111220697720132,0.0,0.0,-0.006121014285709325,0.0,0.0
